id,name,type_1,type_2,division,location,constituency,latitude,longitude
116,KINYANJUI ROAD PRI SCH,MIXED,DAY ONLY,DAGORETTI,RIRUTA,DAGORETTI,-1.292053,36.743781
117,RIRUTA SATELITE PRI,MIXED,DAY ONLY,DAGORETTI,RIRUTA,DAGORETTI,-1.289883,36.735422
118,KABIRIA PRI SCH,MIXED,DAY ONLY,DAGORETTI,WAITHAKA,DAGORETTI,-1.287112,36.717162
119,NDURARUA PRI SCH,MIXED,DAY ONLY,DAGORETTI,RIRUTA,DAGORETTI,-1.286799,36.739488
120,MUTUINI PRI SCH,MIXED,DAY ONLY,DAGORETTI,MUTUINI,DAGORETTI,-1.293237,36.693253
121,KIRIGU PRI SCH,MIXED,DAY ONLY,DAGORETTI,MUTUINI,DAGORETTI,-1.284991,36.698012
122,GITIBA PRI SCH,MIXED,DAY ONLY,DAGORETTI,MUTUINI,DAGORETTI,-1.284136,36.689583
123,RUTHIMITU PRI SCH,MIXED,DAY ONLY,DAGORETTI,UTHIRU/RUTHIMITU,DAGORETTI,-1.274901,36.70179
124,KAGIRA PRI SCH,MIXED,DAY ONLY,DAGORETTI,UTHIRU/RUTHIMITU,DAGORETTI,-1.271363,36.700114
125,MAKADARA PRI SCH,MIXED,DAY ONLY,DAGORETTI,WAITHAKA,DAGORETTI,-1.280541,36.710955
126,RIRUTA HGM PRI SCH,MIXED,DAY ONLY,DAGORETTI,KAWANGWARE,DAGORETTI,-1.278261,36.737366
127,RIRUTA HGM PRI SCH SPECIAL,MIXED,DAY ONLY,DAGORETTI,KAWANGWARE,DAGORETTI,-1.278261,36.737366
128,NEMBU PRI SCH,MIXED,DAY ONLY,DAGORETTI,WAITHAKA,DAGORETTI,-1.27897,36.719666
129,DAGORETTI MUSLIM PRI SCH,MIXED,DAY ONLY,DAGORETTI,KAWANGWARE,DAGORETTI,-1.277064,36.742398
130,GATINA PRI SCH,MIXED,DAY ONLY,DAGORETTI,KAWANGWARE,DAGORETTI,-1.275062,36.75139
131,MUTHURWA PRI SCH,MIXED,DAY ONLY,PUMWANI,KAMUKUNJI,KAMUKUNJI,-1.285634,36.840063
132,OUR LADY OF MERCY SHAURI MOYO PRI,GIRLS ONLY,DAY ONLY,PUMWANI,SHAURIMOYO,KAMUKUNJI,-1.289436,36.848129
133,KIMATHI PRI SCH,MIXED,DAY ONLY,PUMWANI,BAHATI,KAMUKUNJI,-1.284345,36.863258
134,DR LIVINGSTONE PRIMARY,MIXED,DAY ONLY,PUMWANI,KIATATHI,KAMUKUNJI,-1.284345,36.864049
135,UHURU PRI,MIXED,DAY ONLY,PUMWANI,BAHATI,KAMUKUNJI,-1.27923,36.869819
136,BURUBURU 1 PRI SCH,MIXED,DAY ONLY,PUMWANI,BAHATI,KAMUKUNJI,-1.273133,36.877874
137,NAIROBI RIVER PRI SCH,MIXED,DAY ONLY,PUMWANI,BAHATI,KAMUKUNJI,-1.267342,36.877291
138,MOI AIRBASE ACADEMY PRI SCH,MIXED,DAY ONLY,PUMWANI,EASTLEIGH NORTH,KAMUKUNJI,-1.265317,36.84686
139,ST TERESA'S BOYS PRI,BOYS ONLY,DAY ONLY,PUMWANI,EASTLEIGH NORTH,KAMUKUNJI,-1.265317,36.84686
140,EISTLEIGH AIRPORT PRI,MIXED,DAY ONLY,PUMWANI,EASTLEIGH NORTH,KAMUKUNJI,-1.267933,36.852745
141,NEW EASTLEIGH PRI SCH,MIXED,DAY ONLY,PUMWANI,EASTLEIGH NORTH,KAMUKUNJI,-1.272823,36.846411
142,NEW PUMWANI PRI SCH,MIXED,DAY ONLY,PUMWANI,EASTLEIGH SOUTH,KAMUKUNJI,-1.281507,36.84763
143,UMOJA 1 PRI,MIXED,DAY ONLY,EMBAKASI,UMOJA,EMBAKASI,-1.278048,36.88709
144,UNITY PRI SCH,MIXED,DAY ONLY,EMBAKASI,UMOJA,EMBAKASI,-1.281451,36.892806
145,KIFARU PRI SCH,MIXED,DAY ONLY,EMBAKASI,UMOJA,EMBAKASI,-1.281528,36.896926
146,TUMAINI PRI SCH,MIXED,DAY ONLY,EMBAKASI,UMOJA,EMBAKASI,-1.28158,36.896926
147,PETER KIBUKOSYA PRI SCH,MIXED,DAY ONLY,EMBAKASI,UMOJA,EMBAKASI,-1.273122,36.894651
148,BUSARA PRI SCH,MIXED,DAY ONLY,EMBAKASI,UMOJA,EMBAKASI,-1.275042,36.894705
149,MWANGAZA PRI SCH,MIXED,DAY ONLY,EMBAKASI,UMOJA,EMBAKASI,-1.275441,36.908078
150,THAWABU PRI SCH,MIXED,DAY ONLY,EMBAKASI,KAYOLE,EMBAKASI,-1.275944,36.914891
151,KAYOLE 1 PRI SCH,MIXED,DAY ONLY,EMBAKASI,NJIRU,EMBAKASI,-1.260269,36.919011
