id,name,type_1,type_2,division,location,constituency,latitude,longitude
201,GATOTO COMMUNITY PRI SCH,MIXED,DAY ONLY,EMBAKASI,MUKURU,EMBAKASI,-1.312092,36.863102
202,SOS TECHNICAL SCH. - PRI,MIXED,DAY ONLY,MAKADARA,BURUBURU,MAKADARA,-1.283668,36.877892
203,SUNNY SHINE COMMUNITY CENTRE - PRI,MIXED,DAY ONLY,WESTLANDS,KANGEMI,WESTLANDS,-1.271245,36.742887
204,BORAN EDUCATION CHILDRENS CENTRE,MIXED,DAY ONLY,STAREHE,HURUMA,STAREHE,-1.257312,36.877449
205,PEARLS EDUCATION CENTRE - PRI,MIXED,DAY ONLY,WESTLANDS,KANGEMI,WESTLANDS,-1.270837,36.735899
206,SHANGILIA MTOTO WA AFRICA -PRI,MIXED,BOARDING ONLY,WESTLANDS,KANGEMI,WESTLANDS,-1.266566,36.752915
207,UNDUGU SOCIETY PRI SCH,MIXED,BOARDING ONLY,KASARANI,KOROGOCHO,LANGATA,-1.245311,36.889859
208,MUTIRITHIA EDUCATIONAL CENTRE - PRI,MIXED,DAY ONLY,KASARANI,KASARANI,KASARANI,-1.235136,36.933855
209,DAGORETTI SPECIAL SCH PRI,MIXED,DAY & BOARDING,DAGORETTI,UTHIRU/RUTHIMITU,DAGORETTI,-1.277404,36.689634
210,JOLLY JUNIOR ACADEMY - PRI,MIXED,DAY ONLY,WESTLANDS,KANGEMI,WESTLANDS,-1.263717,36.751968
211,TRUE VISION EDUCATION CENTRE - PRI,MIXED,DAY ONLY,WESTLANDS,KANGEMI,WESTLANDS,-1.264572,36.751778
212,IMARA PRI SCH,MIXED,DAY ONLY,EMBAKASI,KAYOLE,EMBAKASI,-1.269089,36.918389
213,S.S.D PRIMARY SCH,MIXED,DAY ONLY,STAREHE,STAREHE,STAREHE,-1.28207,36.829151
214,BLESINGS PRI SCH,MIXED,DAY ONLY,EMBAKASI,KAYOLE,EMBAKASI,-1.272367,36.914379
215,DRIVE INN PRI SCH,MIXED,DAY ONLY,KASARANI,RUARAKA,KASARANI,-1.246951,36.870532
216,ST. PETER'S CLAVERS PRI SCH,MIXED,DAY ONLY,STAREHE,STAREHE,STAREHE,-1.283621,36.830297
217,MUREMA PRI SCH,MIXED,DAY ONLY,KASARANI,KASARANI,KASARANI,-1.225245,36.918568
218,STATE HOUSE PRI,MIXED,DAY ONLY,WESTLANDS,KILIMANI,WESTLANDS,-1.276434,36.802285
219,MURANGA ROAD PRI,MIXED,DAY & BOARDING,STAREHE,NGARA,STAREHE,-1.27428,36.82269
220,KARIOBANGI NORTH PRI SCH PRI,MIXED,DAY ONLY,KASARANI,KARIOBANGI,KASARANI,-1.251115,36.881787
221,MBAGATHI ROAD PRIMARY SCHOOL,MIXED,DAY ONLY,DAGORETTI,KENYATTA/GOLF COURSE,DAGORETTI,-1.305458,36.801164
222,MUSLIM ACADEMY PRI,,,STAREHE,NGARA,STAREHE,-1.273037,36.831286
223,STAR OF HOPE PRI SCH,MIXED,DAY ONLY,MAKADARA,VIWANDA,MAKADARA,-1.30825,36.87414
224,MATHARI PRI SCH,MIXED,DAY ONLY,STAREHE,MATHARE,STAREHE,-1.259559,36.848686
